drug,uses,dosage,warnings
Jacksons Cell Salts KALI PHOS 6X,,, Warnings  WARNINGS
Jacksons Cell Salts MAG PHOS 6X,,, Warnings  WARNINGS
Joint Pain and Stiffness Relief," INDICATIONS:  May temporarily relieve pain due to inflammation caused by but not limited to the following: sprains, minor joint inflammation, trauma.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve pain due to inflammation caused by but not limited to the following: sprains, minor joint inflammation, trauma.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   For external use only.  If pregnant or breast-feeding,  Keep out of reach of children. Do not get into eyes.  Do not use if tamper evident seal is broken or missing.   SHAKE WELL"
KH42,,,
Kali Phos 6X,,,
LACHESIS MUTUS,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Lachesis Mutus,,, WARNINGS:  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Lungs and Bronchial Relief,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image: Lungs.jpg"
Lycopodium Clavatum 30X,,,
Lymph," INDICATIONS:  For temporary relief of glandular swelling with inflammation and induration, glands hot, swollen, painful; scrofulous swelling, axillary glands swollen with soreness of the upper arm and tonsils.  INDICATIONS:  For temporary relief of glandular swelling with inflammation and induration, glands hot, swollen, painful; scrofulous swelling, axillary glands swollen with soreness of the upper arm and tonsils.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in cool, dry place."
MARS WELLNESS MAGNESIUM,,,
MBM 1 BLADDER, INDICATIONS:  For temporary relief of bladder irritation.  INDICATIONS:  For temporary relief of bladder irritation.,," WARNINGS:   ​If pregnant or breast-feeding,  ​Keep out of reach of children. Do not use if seal is broken or missing."
MBM 3 Heart-Shock," INDICATIONS:  For temporary relief of shock, excessive joy, guilt, and feelings of being overwhelmed.  INDICATIONS:  For temporary relief of shock, excessive joy, guilt, and feelings of being overwhelmed.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if seal is broken or missing."
MYCCombination,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Severe or persistent sore throat or sore throat accompanied by high fever, Headache, nausea, and vomiting may be serious. Consult a physician promptly. Do not use more than two days or administer to children under 3 years of age unless directed by a physician.   Tamper Evident:"
Magnesite Viscum,,,
Magnesium sulf. Bryonia,,,
Melatonin Forte,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Mercury Plus Detox," INDICATIONS:  Slow mind & memory. Agitation. Restlessness. Anxiety. Depression. Suicidal. Bone Pain. Vertigo. Headache. Skin. Scalp eruptions. Acne. Hair Loss. Oily sweat on head. Tremors. Canker Sores. Symptoms of autism, syphilis, Reproductive/endocrine problems.  INDICATIONS:  Slow mind & memory. Agitation. Restlessness. Anxiety. Depression. Suicidal. Bone Pain. Vertigo. Headache. Skin. Scalp eruptions. Acne. Hair Loss. Oily sweat on head. Tremors. Canker Sores. Symptoms of autism, syphilis, Reproductive/endocrine problems.",," WARNINGS:   ​If pregnant or breast-feeding  ​Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
MetDetox," INDICATIONS:  For temporary relief of symptoms related to heavy metal toxicity including cough, poor concentration, nausea, vomiting, occasional diarrhea, stomach pain, headache, sweating, and a metallic taste in the mouth.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.",," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: ""Sealed for Your Protection."" Do not use if seal is broken or missing."
Metox," HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to heavy metal toxicity including cough, poor concentration, nausea, vomiting, occasional diarrhea, stomach pain, headache, sweating, and a metallic taste in the mouth.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.  HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to heavy metal toxicity including cough, poor concentration, nausea, vomiting, occasional diarrhea, stomach pain, headache, sweating, and a metallic taste in the mouth.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.",," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: ""Sealed for Your Protection."" Do not use if seal is broken or missing."
Multi-Strain Candida Relief,,, Warnings   Stop use and consult a physician if  If pregnant or breast-feeding
Natural Testosterone,,," WARNINGS:    If pregnant or breast-feeding,  Keep out of reach of children.  Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Nephrovesic,,," WARNINGS:   If pregnant or breastfeeding, ask a health professional before use.  Keep out of reach of children.  Tamper Evident:"
Neurotox," INDICATIONS:  For temporary relief of symptoms due to numbness, tingling, muscle cramps, and nerve pain.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in cool, dry place."
Nexgen Restore," INDICATIONS:  For temporary relief of symptoms related to increased appetite, regulation of fat metabolism, headache, fatigue, and detoxification stress.  INDICATIONS:  For temporary relief of symptoms related to increased appetite, regulation of fat metabolism, headache, fatigue, and detoxification stress.",, WARNINGS:   Keep out of reach of children  If pregnant or breast-feeding Tamper seal: Sealed for Your Protection.
Nux vomica 30C - 3-Pack,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Nux vomica 30X,,,
Pituitary Forte, INDICATIONS:  For temporary relief of symptoms due to hypothalamic/pituitary dysregulation.  INDICATIONS:  For temporary relief of symptoms due to hypothalamic/pituitary dysregulation.,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Progesterone,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Purple Dandruff,,,
Purple Dandruff Conditioner,,,
Radiation," INDICATIONS:  For temporary relief of symptoms related to mild radiation exposure including weakness, fatigue, exhaustion, fainting, dehydration and diarrhea.  INDICATIONS:  For temporary relief of symptoms related to mild radiation exposure including weakness, fatigue, exhaustion, fainting, dehydration and diarrhea.",,
Reflux, HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to heartburn and esophageal reflux.** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.  HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to heartburn and esophageal reflux.** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.,," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: ""Sealed for Your Protection."" Do not use if seal is broken or missing."
Regional Allergies Southern U.S.,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Southern U.S.jpg"
Rescue Remedy (Instant Calm),,,
Resentment,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:"
Respiforce," INDICATIONS:  For temporary relief of minor aches and pains in muscles and joints, fever with dryness of mucous membranes and dry cough; muscular soreness and fatigue with headache.  INDICATIONS:  For temporary relief of minor aches and pains in muscles and joints, fever with dryness of mucous membranes and dry cough; muscular soreness and fatigue with headache.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Rheumatic Tonic," INDICATIONS:  For temporary relief of symptoms due to joint aches, pains, swelling, and rheumatism.  INDICATIONS:  For temporary relief of symptoms due to joint aches, pains, swelling, and rheumatism.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in cool, dry place."
Rhus Tox 30X,,,
SEPIA,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
SOVEREIGN SILVER FIRST AID HOMEOPATHIC MEDICINE,,,
SOVEREIGN SILVER MULTI-SYMPTOM SORE THROAT,,,
SOVEREIGN SILVER NATURAL HEALING SKIN CARE,,,
SPONGIA TOSTA,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Sciatic Nerve Formula,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image: Sciatic Nerve Formula.jpg"
Seasonal Allergy Relief," Indications and Usage  Uses Changed to ■ Temporarily relieves symptoms of hay fever and other upper respiratory allergies, including: ■ runny nose ■ sneezing ■ itchy or watery eyes ■ itchy nose or throat ■ sinus pain ■ headache"," Dosage and Administration   Directions Adults and children 12 years and over:  05/09/2022 - Updates Directions ■ Use as directed.    Adults and children At onset of symptoms, dissolve 1-2 tablets",
Sepia 30c,,, WARNINGS:  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Serotonin,,," WARNINGS:   ​If pregnant or breast-feeding,  ​Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Shame,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:"
Sinus Tonic,,," WARNINGS:   Sore Throat Warning ﻿S﻿﻿evere or persistent sore throat or sore throat accompanied by high fever, headache, nausea, and vomiting may be serious. Consult physician promptly. Do not use more than 2 days or administer to children under 3 years of age unless directed by physician.  If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Skin Liquescence,,," WARNINGS:   If pregnant or breast-feeding, ask a health professional before use. In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing. Store in a cool place after opening"
Skin and Itch,,, Warnings   If symptoms persist or worsen  Keep out of reach of children. Reference image:Skin and Itch.jpg
Sleep Aid,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Sleep .jpg"
SleepEase," INDICATIONS:  Temporarily relieves the common symptoms of sleeplessness, including: º wakefulness º restlessness º emotional stress and anxiety º caffeine sensitivity",," WARNINGS:   If sleeplessness persists continuously for more than 2 weeks, If pregnant or breast-feeding, Keep out of reach of children."
Snore Control,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Snore Control.jpg"
Sovereign Silver,,,
Sovereign Silver First Aid Gel Topical Healing Homeopathic Medicine,,,
Spongia Tosta,,, WARNINGS:  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Sprayology Stress Relief," INDICATIONS:  Temporarily relieves feelings of stress, including: ° anxiety ° nervousness ° mood swings ° irritability ° natural ° gluten & lactose free ° no artificial flavors or colors ° no known negative side effects ° no known negative drug interactions",," WARNINGS:   If symptoms persist or worsen, If pregnant or breast-feeding Keep out of reach of children"
Stannum 30X,,,
Stress and Anxiety,,," Warnings   Stop use and ask your doctor if  If pregnant or breast-feeding,  Keep out of reach of children. Reference image: Stress.jpg"
Swimmers Itch Guard,,,
TUBERCULOSIS ELIMINATOR,,,
Taraxacum 4X,,,
Testosterone,,,
Throat Formula," INDICATIONS:  For temporary relief of swollen tonsils, throat pain and burning of the throat.  INDICATIONS:  For temporary relief of swollen tonsils, throat pain and burning of the throat.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
ThroatSpray," INDICATIONS:  May temporarily relieve swollen sensation, minor throat pain, and burning of the throat.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve swollen sensation, minor throat pain, and burning of the throat.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place. Warning - Severe or persistent sore throat or sore throat accompanied by high fever, headache, nausea, and vomiting may be serious. Consult physician promptly. Do not use more than 2 days or administer to children under 3 years of age unless directed by physician."
Tree Antigens," INDICATIONS:  May temporarily relieve symptoms associated with tree sensitivities, such as congestion and runny nose and sneezing.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evalutated.  INDICATIONS:  May temporarily relieve symptoms associated with tree sensitivities, such as congestion and runny nose and sneezing.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evalutated.",," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
VACC HC,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children.  Tamper Evident:"
Vax Sode," INDICATIONS:  Aids in temporary relief of symptoms including sweats, chills, minor aches of muscles and joints, fatigue and headache.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   Professional Use Only  If pregnant or breast-feeding, In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing.  Store in a cool place after opening"
Vermex," INDICATIONS:  For temporary relief of itching of the anus, colic, bloating, pain, and constipation.  INDICATIONS:  For temporary relief of itching of the anus, colic, bloating, pain, and constipation.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Vir Combination,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children.  Tamper Evident:"
Virex," INDICATIONS:  Aids in temporary relief of symptoms including occasional headaches, sweats, chills, runny nose, and minor aches of muscles and joints.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   Professional Use Only  If pregnant or breast-feeding, In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing.  Store in a cool place after opening"
Viri Sode," INDICATIONS:  Aids in temporary relief of symptoms including fatigue, occasional headaches, sweats, chills, runny nose, and minor aches of muscles and joints.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   Professional Use Only  If pregnant or breast-feeding, In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing.  Store in a cool place after opening"
Virimmune,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:"
iShanCare,," Dosage & administration  Apply as needed, do not re-use."," Warning  For external use only. Avoid direct contact witheyes.lf excessive redness, irritation, burning ordiscomfort of the skin develops, discontinueuse and consult a physician immediately. Donot apply to wounds or to irrtated, damaged,sunburned or very sensitve skin. The coolinggel sheet will not stick to skin if the skin is wetor if the gel sheet comes into contact with haireyebrows or clothing. Keep out of the reach ofchildren.Consult physician if fever persists orcondition worsens."
iShancare NAIL FUNGUS SERUM,, Dosage & administration  Apply 2-3 times a day," Warning  Warnings: For external use only * Do not use on children under 2 years of age unless directed by a doctor. * Avoid contact with eyes when using this product, if contact occurs rinse thoroughly with water * Stop use and ask a doctor if"
